Year,Month,Day,Consumption
2012,11,29,6.36180
2012,11,30,6.08808
2012,12,01,5.12784
2012,12,02,4.82823
2012,12,03,6.65041
2012,12,04,6.83359
2012,12,05,6.72749
2012,12,06,6.24837
2012,12,07,5.96763
2012,12,08,5.61746
2012,12,09,5.64850
2012,12,10,6.52129
2012,12,11,6.71267
2012,12,12,6.72466
2012,12,13,6.48540
2012,12,14,6.11286
2012,12,15,5.24355
2012,12,16,4.46209
2012,12,17,6.32622
2012,12,18,6.79115
2012,12,19,6.27072
2012,12,20,6.19747
2012,12,21,6.13774
2012,12,22,5.29805
2012,12,23,4.48917
2012,12,24,4.49435
2012,12,25,5.12377
2012,12,26,4.81347
2012,12,27,5.17396
2012,12,28,5.43545
2012,12,29,5.54620
2012,12,30,4.62617
2012,12,31,4.68547
