Year,Month,Day,Consumption,Companies,Installations,
2016,07,30,439.97864,9,51,
2016,07,31,429.45707,9,51,
2016,08,01,557.96196,9,51,
2016,08,02,565.48693,9,51,
2016,08,03,571.93221,9,51,
2016,08,04,594.33905,9,51,
2016,08,05,577.50334,9,51,
2016,08,06,466.05996,9,51,
2016,08,07,459.97125,9,51,
2016,08,08,709.68697,9,51,
2016,08,09,750.12571,9,51,
2016,08,10,779.82448,9,51,
2016,08,11,874.38513,9,51,
2016,08,12,804.13730,9,51,
2016,08,13,603.00853,9,51,
2016,08,14,641.26372,9,51,
2016,08,15,1431.37860,9,51,
2016,08,16,1556.09070,9,51,
2016,08,17,1544.63018,9,51,
2016,08,18,1540.75844,9,51,
2016,08,19,1392.27811,9,51,
2016,08,20,750.08905,9,51,
2016,08,21,754.49096,9,51,
2016,08,22,1614.71914,9,51,
2016,08,23,1652.17225,9,51,
2016,08,24,1653.96855,9,51,
2016,08,25,1632.47427,9,51,
2016,08,26,1364.42525,9,51,
2016,08,27,754.73388,9,51,
2016,08,28,789.62784,9,51,
2016,08,29,1592.90681,9,51,
2016,08,30,1577.00873,9,51,
2016,08,31,1640.08675,9,51,
2016,09,01,1629.51023,9,51,
2016,09,02,1264.57630,9,51,
2016,09,03,785.70567,9,51,
2016,09,04,782.15185,9,51,
2016,09,05,1602.34785,9,51,
2016,09,06,1641.89086,9,51,
2016,09,07,1643.73133,9,51,
2016,09,08,1654.74609,9,51,
2016,09,09,1333.86617,9,51,
2016,09,10,810.31806,9,51,
2016,09,11,796.00017,9,51,
2016,09,12,1614.92051,9,51,
2016,09,13,1679.07333,9,51,
2016,09,14,1649.13027,9,51,
2016,09,15,1612.38352,9,51,
2016,09,16,1332.63458,9,51,
2016,09,17,760.12098,9,51,
2016,09,18,764.31131,9,51,
2016,09,19,1650.86076,9,51,
2016,09,20,1670.25686,9,51,
2016,09,21,1642.78611,9,51,
2016,09,22,1606.02819,9,51,
2016,09,23,1305.91214,9,51,
2016,09,24,731.88646,9,51,
2016,09,25,752.79580,9,51,
2016,09,26,1632.55260,9,51,
2016,09,27,1678.56451,9,51,
2016,09,28,1626.76944,9,51,
2016,09,29,1628.59960,9,51,
2016,09,30,1303.78551,9,51,
2016,10,01,742.41026,9,52,
2016,10,02,746.43878,9,52,
2016,10,03,1532.07555,9,52,
2016,10,04,1622.35572,9,52,
2016,10,05,1669.20352,9,52,
2016,10,06,1686.10764,9,52,
2016,10,07,1415.27330,9,52,
2016,10,08,757.48750,9,52,
2016,10,09,781.53260,9,52,
2016,10,10,1672.75910,9,52,
2016,10,11,1686.25442,9,52,
2016,10,12,1637.23660,9,52,
2016,10,13,1654.95836,9,52,
2016,10,14,1458.04257,9,52,
2016,10,15,791.89668,9,52,
2016,10,16,773.11050,9,52,
2016,10,17,1668.21935,9,52,
2016,10,18,1680.16227,9,52,
2016,10,19,1620.55673,9,52,
2016,10,20,1610.14964,9,52,
2016,10,21,1285.44224,9,52,
2016,10,22,762.21207,9,52,
2016,10,23,778.86805,9,52,
2016,10,24,1623.89302,9,52,
2016,10,25,1685.65692,9,52,
2016,10,26,1663.31146,9,52,
2016,10,27,1657.81076,9,52,
2016,10,28,1334.00207,9,52,
2016,10,29,794.64203,9,52,
2016,10,30,745.91544,9,52,
2016,10,31,1644.42857,9,52,
2016,11,01,1673.45524,9,52,
2016,11,02,1639.15505,9,52,
2016,11,03,1643.84848,9,52,
2016,11,04,1383.24828,9,52,
2016,11,05,746.09839,9,52,
2016,11,06,771.57653,9,52,
2016,11,07,1662.30623,9,52,
2016,11,08,1665.22528,9,52,
2016,11,09,1699.14628,9,52,
2016,11,10,1705.41812,9,52,
2016,11,11,1406.05446,9,52,
2016,11,12,822.92562,9,52,
2016,11,13,791.93902,9,52,
2016,11,14,1688.09498,9,52,
2016,11,15,1737.25859,9,52,
2016,11,16,1703.90191,9,52,
2016,11,17,1680.98082,9,52,
2016,11,18,1435.25457,9,52,
2016,11,19,873.47683,9,52,
2016,11,20,789.15683,9,52,
2016,11,21,1673.12194,9,52,
2016,11,22,1709.09516,9,52,
2016,11,23,1680.96485,9,52,
2016,11,24,1635.37547,9,52,
2016,11,25,1467.05634,9,52,
2016,11,26,804.03747,9,52,
2016,11,27,792.65706,9,52,
2016,11,28,1728.39052,9,52,
2016,11,29,1746.44268,9,52,
2016,11,30,1734.10043,9,58,
2016,12,01,1746.96594,9,58,
2016,12,02,1532.05769,9,58,
2016,12,03,880.18358,9,58,
2016,12,04,827.62057,9,58,
2016,12,05,1738.34261,9,58,
2016,12,06,1792.66422,9,58,
2016,12,07,1747.59635,9,58,
2016,12,08,1710.70178,9,58,
2016,12,09,1526.04096,9,58,
2016,12,10,814.82224,9,58,
2016,12,11,791.89971,9,58,
2016,12,12,1765.47056,9,58,
2016,12,13,1736.43814,9,58,
2016,12,14,1738.75528,9,58,
2016,12,15,1741.81692,9,58,
2016,12,16,1499.16115,9,58,
2016,12,17,810.17957,9,58,
2016,12,18,794.11248,9,58,
2016,12,19,1674.16347,9,58,
2016,12,20,1673.30197,9,58,
2016,12,21,1570.47265,9,58,
2016,12,22,1424.27873,9,58,
2016,12,23,974.04949,9,58,
2016,12,24,534.92233,9,58,
2016,12,25,534.23267,9,58,
2016,12,26,610.27262,9,58,
2016,12,27,886.41777,9,58,
2016,12,28,925.50270,9,58,
2016,12,29,911.48055,9,58,
2016,12,30,771.92428,9,58,
2016,12,31,523.75824,9,58,
2017,01,01,562.79401,9,59,
2017,01,02,1394.60875,9,59,
2017,01,03,1512.59089,9,59,
2017,01,04,1509.59787,9,59,
2017,01,05,1482.80754,9,59,
2017,01,06,866.58442,9,59,
2017,01,07,734.79253,9,59,
2017,01,08,748.27427,9,59,
2017,01,09,1651.21377,9,59,
2017,01,10,1708.54038,9,59,
2017,01,11,1727.45958,9,59,
2017,01,12,1724.04812,9,59,
2017,01,13,1418.38220,9,59,
2017,01,14,803.07244,9,59,
2017,01,15,790.77531,9,59,
2017,01,16,1735.74680,9,59,
2017,01,17,1743.02946,9,59,
2017,01,18,1755.28467,9,59,
2017,01,19,1702.65641,9,59,
2017,01,20,1425.39258,9,59,
