Year,Month,Day,Consumption,Companies,Installations,
2018,08,10,869.18245,9,59,
2018,08,11,683.28574,9,59,
2018,08,12,753.95022,9,59,
2018,08,13,1 464.70137,9,59,
2018,08,14,1 596.05180,9,59,
2018,08,15,1 635.20158,9,59,
2018,08,16,1 681.65936,9,59,
2018,08,17,1 541.44711,9,59,
2018,08,18,1 119.88139,9,59,
2018,08,19,1 051.71252,9,59,
2018,08,20,1 725.67850,9,59,
2018,08,21,1 752.33798,9,59,
2018,08,22,1 741.29458,9,59,
2018,08,23,1 699.89763,9,59,
2018,08,24,1 603.56224,9,59,
2018,08,25,1 161.11667,9,59,
2018,08,26,1 093.71181,9,59,
2018,08,27,1 715.12437,9,59,
2018,08,28,1 683.55291,9,59,
2018,08,29,1 760.43656,9,59,
2018,08,30,1 778.93803,9,59,
2018,08,31,1 594.72686,9,59,
2018,09,01,1 030.05047,9,60,
2018,09,02,1 107.82352,9,60,
2018,09,03,1 762.40747,9,60,
2018,09,04,1 780.22090,9,60,
2018,09,05,1 789.02843,9,60,
2018,09,06,1 788.90784,9,60,
2018,09,07,1 596.27652,9,60,
2018,09,08,1 098.89734,9,60,
2018,09,09,1 105.35246,9,60,
2018,09,10,1 719.13770,9,60,
2018,09,11,1 765.62282,9,60,
2018,09,12,1 765.24075,9,60,
2018,09,13,1 727.77017,9,60,
2018,09,14,1 616.84687,9,60,
2018,09,15,1 113.71325,9,60,
2018,09,16,1 105.54196,9,60,
2018,09,17,1 774.90325,9,60,
2018,09,18,1 816.48856,9,60,
2018,09,19,1 811.22780,9,60,
2018,09,20,1 814.58128,9,60,
2018,09,21,1 662.02044,9,60,
2018,09,22,1 048.37988,9,60,
2018,09,23,1 109.00051,9,60,
2018,09,24,1 779.48368,9,60,
2018,09,25,1 809.44136,9,60,
2018,09,26,1 776.40186,9,60,
2018,09,27,1 799.96571,9,60,
2018,09,28,1 604.40781,9,60,
2018,09,29,1 165.28358,9,60,
2018,09,30,1 089.11720,9,60,
2018,10,01,1 789.69690,9,60,
2018,10,02,1 836.52368,9,60,
2018,10,03,1 796.23543,9,60,
2018,10,04,1 819.20136,9,60,
2018,10,05,1 640.37615,9,60,
2018,10,06,1 089.76017,9,60,
2018,10,07,1 128.56282,9,60,
2018,10,08,1 797.11614,9,60,
2018,10,09,1 817.36196,9,60,
2018,10,10,1 830.85451,9,60,
2018,10,11,1 807.52027,9,60,
2018,10,12,1 581.12298,9,60,
2018,10,13,1 033.80643,9,60,
2018,10,14,1 111.19337,9,60,
2018,10,15,1 716.13443,9,60,
2018,10,16,1 726.41651,9,60,
2018,10,17,1 811.92419,9,60,
2018,10,18,1 812.76787,9,60,
2018,10,19,1 618.91057,9,60,
2018,10,20,1 082.65742,9,60,
2018,10,21,1 122.23395,9,60,
2018,10,22,1 802.14974,9,60,
2018,10,23,1 789.19915,9,60,
2018,10,24,1 763.86942,9,60,
2018,10,25,1 775.09077,9,60,
2018,10,26,1 595.75701,9,60,
2018,10,27,1 114.31673,9,60,
2018,10,28,1 101.30445,9,60,
2018,10,29,1 769.73956,9,60,
2018,10,30,1 804.49028,9,60,
2018,10,31,1 778.88858,9,60,
2018,11,01,1 746.48991,9,60,
2018,11,02,1 556.33306,9,60,
2018,11,03,965.93154,9,60,
2018,11,04,1 043.21011,9,60,
2018,11,05,1 717.00931,9,60,
2018,11,06,1 733.72162,9,60,
2018,11,07,1 770.25770,9,60,
2018,11,08,1 809.56805,9,60,
2018,11,09,1 576.21313,9,60,
2018,11,10,1 087.29891,9,60,
2018,11,11,1 102.83142,9,60,
2018,11,12,1 768.70057,9,60,
2018,11,13,1 792.77129,9,60,
2018,11,14,1 764.98453,9,60,
2018,11,15,1 780.89220,9,60,
2018,11,16,1 647.12834,9,60,
2018,11,17,1 179.19919,9,60,
2018,11,18,1 117.43839,9,60,
2018,11,19,1 818.89282,9,60,
2018,11,20,1 855.96360,9,60,
2018,11,21,1 852.87514,9,60,
2018,11,22,1 832.13602,9,60,
2018,11,23,1 644.56972,9,60,
2018,11,24,1 075.36673,9,60,
2018,11,25,1 118.11838,9,60,
2018,11,26,1 820.04338,9,60,
2018,11,27,1 846.64004,9,60,
2018,11,28,1 860.23951,9,60,
2018,11,29,1 867.41874,9,60,
2018,11,30,1 661.09298,9,60,
2018,12,01,1 125.54816,9,60,
2018,12,02,1 119.18267,9,60,
2018,12,03,1 831.59065,9,60,
2018,12,04,1 843.42585,9,60,
2018,12,05,1 840.37950,9,60,
2018,12,06,1 866.91357,9,60,
2018,12,07,1 634.28194,9,60,
2018,12,08,1 112.93308,9,60,
2018,12,09,1 120.64023,9,60,
2018,12,10,1 858.04786,9,60,
2018,12,11,1 852.38376,9,60,
2018,12,12,1 873.19319,9,60,
2018,12,13,1 866.26514,9,60,
2018,12,14,1 652.39071,9,60,
2018,12,15,1 088.39005,9,60,
2018,12,16,1 163.49819,9,60,
2018,12,17,1 848.24460,9,60,
2018,12,18,1 883.62998,9,60,
2018,12,19,1 852.80564,9,60,
2018,12,20,1 794.86833,9,60,
2018,12,21,1 432.77355,9,60,
2018,12,22,852.52283,9,60,
2018,12,23,718.02882,9,60,
2018,12,24,660.68979,9,60,
2018,12,25,661.89765,9,60,
2018,12,26,681.99127,9,60,
2018,12,27,863.89129,9,60,
2018,12,28,869.03606,9,60,
2018,12,29,779.88786,9,60,
2018,12,30,722.64887,9,60,
2018,12,31,668.71324,9,60,
,,,,
