Year,Month,Day,Consumption
2014,03,13,5.07890
2014,03,14,4.82304
2014,03,15,4.39299
2014,03,16,3.70266
2014,03,17,5.35541
2014,03,18,5.28562
2014,03,19,5.47909
2014,03,20,4.83628
2014,03,21,4.41501
2014,03,22,3.72133
2014,03,23,2.92367
2014,03,24,5.01808
2014,03,25,5.13355
2014,03,26,4.97175
2014,03,27,4.64267
2014,03,28,4.34852
2014,03,29,3.39853
2014,03,30,3.19610
2014,03,31,4.92327
2014,04,01,5.29070
2014,04,02,5.25668
2014,04,03,5.22667
2014,04,04,4.28470
2014,04,05,3.53603
2014,04,06,3.11556
2014,04,07,4.72858
2014,04,08,4.79670
2014,04,09,4.86179
2014,04,10,4.67624
2014,04,11,4.18371
2014,04,12,3.16762
2014,04,13,3.02033
2014,04,14,4.62773
2014,04,15,4.60746
2014,04,16,4.81357
2014,04,17,4.14804
2014,04,18,2.75799
2014,04,19,3.19922
2014,04,20,2.90041
2014,04,21,2.76367
2014,04,22,4.60811
2014,04,23,4.70201
2014,04,24,4.61395
2014,04,25,4.40551
2014,04,26,3.23723
2014,04,27,3.37155
2014,04,28,4.63214
2014,04,29,4.70586
2014,04,30,4.63253
2014,05,01,3.44648
2014,05,02,4.36219
2014,05,03,3.32694
2014,05,04,3.09792
2014,05,05,4.75874
2014,05,06,4.78286
2014,05,07,4.74573
2014,05,08,4.90713
2014,05,09,4.26517
2014,05,10,3.77472
2014,05,11,2.83680
2014,05,12,4.57364
2014,05,13,4.69567
2014,05,14,4.67579
2014,05,15,4.78246
2014,05,16,4.05867
2014,05,17,2.72898
2014,05,18,2.56718
2014,05,19,4.29770
2014,05,20,4.35578
2014,05,21,4.23260
2014,05,22,4.01571
2014,05,23,3.98392
2014,05,24,2.58635
2014,05,25,2.26457
2014,05,26,4.48245
2014,05,27,4.47542
2014,05,28,4.60541
2014,05,29,2.92400
2014,05,30,3.66383
2014,05,31,2.80817
2014,06,01,2.17605
2014,06,02,4.41158
2014,06,03,4.39626
2014,06,04,4.45201
2014,06,05,4.25324
2014,06,06,2.95094
2014,06,07,2.49661
2014,06,08,2.42435
2014,06,09,4.25006
2014,06,10,4.22926
2014,06,11,4.22196
2014,06,12,4.14440
2014,06,13,3.50220
2014,06,14,2.70395
2014,06,15,2.42968
2014,06,16,4.16362
2014,06,17,4.21350
2014,06,18,4.31389
2014,06,19,3.93701
2014,06,20,2.40244
2014,06,21,2.33701
2014,06,22,2.15125
2014,06,23,4.14295
2014,06,24,4.17932
2014,06,25,4.19672
2014,06,26,4.22335
2014,06,27,3.92012
2014,06,28,2.64078
2014,06,29,2.41127
2014,06,30,4.00899
2014,07,01,4.13289
2014,07,02,3.96962
2014,07,03,3.97856
2014,07,04,3.74665
2014,07,05,2.28673
2014,07,06,2.30595
2014,07,07,3.73465
2014,07,08,3.78587
2014,07,09,3.93046
2014,07,10,3.78114
2014,07,11,3.59010
2014,07,12,2.30555
2014,07,13,2.17187
2014,07,14,3.69486
2014,07,15,3.67519
2014,07,16,3.86450
2014,07,17,3.70635
2014,07,18,3.41322
2014,07,19,2.58207
2014,07,20,2.57044
2014,07,21,3.36875
2014,07,22,3.53469
2014,07,23,3.62840
2014,07,24,3.43160
2014,07,25,3.65017
2014,07,26,2.78015
2014,07,27,2.61111
2014,07,28,3.81924
2014,07,29,3.71683
2014,07,30,4.04582
2014,07,31,3.88130
2014,08,01,3.55496
2014,08,02,2.34945
2014,08,03,2.87785
2014,08,04,4.61058
2014,08,05,4.68947
2014,08,06,4.47149
2014,08,07,4.34441
2014,08,08,4.04551
2014,08,09,2.57441
2014,08,10,2.58179
2014,08,11,4.24315
2014,08,12,4.25499
2014,08,13,4.23691
2014,08,14,4.26569
2014,08,15,3.90752
2014,08,16,2.57553
2014,08,17,2.51944
2014,08,18,4.41468
2014,08,19,4.80065
2014,08,20,4.82565
2014,08,21,4.71681
2014,08,22,4.34518
2014,08,23,3.09251
2014,08,24,2.87572
2014,08,25,4.61105
2014,08,26,4.88354
2014,08,27,4.85184
2014,08,28,5.00557
2014,08,29,4.39098
2014,08,30,3.11931
2014,08,31,2.98699
2014,09,01,4.70878
2014,09,02,4.94663
2014,09,03,4.84304
2014,09,04,4.95465
2014,09,05,4.34081
2014,09,06,2.77674
2014,09,07,2.84039
2014,09,08,4.65074
2014,09,09,4.98473
2014,09,10,5.01344
2014,09,11,4.99331
2014,09,12,4.50154
2014,09,13,3.45830
2014,09,14,3.26110
2014,09,15,4.77061
2014,09,16,5.09461
2014,09,17,5.07000
2014,09,18,4.94840
2014,09,19,4.21946
2014,09,20,2.93600
2014,09,21,2.54743
2014,09,22,4.62681
2014,09,23,4.91131
2014,09,24,4.82227
2014,09,25,4.76298
2014,09,26,4.19277
2014,09,27,2.25989
2014,09,28,2.42162
2014,09,29,4.22268
2014,09,30,4.79180
2014,10,01,4.82202
2014,10,02,4.90655
2014,10,03,4.19593
2014,10,04,3.07693
2014,10,05,2.87027
2014,10,06,4.66366
2014,10,07,4.98217
2014,10,08,4.98412
2014,10,09,5.00392
2014,10,10,4.53592
2014,10,11,3.31896
2014,10,12,2.86364
2014,10,13,4.40066
2014,10,14,5.05624
2014,10,15,5.18221
2014,10,16,5.33669
2014,10,17,4.91733
2014,10,18,3.85275
2014,10,19,2.90381
2014,10,20,4.65445
2014,10,21,5.33681
2014,10,22,5.46728
2014,10,23,5.42772
2014,10,24,4.79516
2014,10,25,3.81936
2014,10,26,2.96955
2014,10,27,4.36211
2014,10,28,4.80714
2014,10,29,5.22884
2014,10,30,5.37871
2014,10,31,4.81456
2014,11,01,3.78206
2014,11,02,2.96138
2014,11,03,5.03716
2014,11,04,5.14710
2014,11,05,5.45179
2014,11,06,5.68554
2014,11,07,5.09621
2014,11,08,3.95565
2014,11,09,3.50270
2014,11,10,4.98484
2014,11,11,5.49610
2014,11,12,5.56220
2014,11,13,5.61274
2014,11,14,4.84588
2014,11,15,3.84686
2014,11,16,3.16663
2014,11,17,5.15972
2014,11,18,5.70540
2014,11,19,5.88793
2014,11,20,5.75394
2014,11,21,5.30915
2014,11,22,3.89322
2014,11,23,3.66508
2014,11,24,5.19773
2014,11,25,5.87898
2014,11,26,5.89021
2014,11,27,6.19511
2014,11,28,5.56063
2014,11,29,5.12877
2014,11,30,4.64550
2014,12,01,5.75409
2014,12,02,6.20038
2014,12,03,5.98047
2014,12,04,6.17937
2014,12,05,5.83607
2014,12,06,4.63190
2014,12,07,4.45355
2014,12,08,5.69816
2014,12,09,6.69308
2014,12,10,6.27201
2014,12,11,6.31611
2014,12,12,5.79137
2014,12,13,4.47827
2014,12,14,4.13573
2014,12,15,5.51166
2014,12,16,6.13763
2014,12,17,6.06782
2014,12,18,6.00758
2014,12,19,5.33720
2014,12,20,4.29334
2014,12,21,3.89283
2014,12,22,5.15848
2014,12,23,5.26508
2014,12,24,4.04742
2014,12,25,4.70412
2014,12,26,4.20107
2014,12,27,4.56074
2014,12,28,4.62069
2014,12,29,6.49061
2014,12,30,6.49646
2014,12,31,5.32978
2015,01,01,5.03501
2015,01,02,5.56964
2015,01,03,5.46926
2015,01,04,4.97408
2015,01,05,5.87614
2015,01,06,5.00981
2015,01,07,6.27055
2015,01,08,6.28611
2015,01,09,6.10926
2015,01,10,4.58182
2015,01,11,4.09534
2015,01,12,7.05330
2015,01,13,7.82839
2015,01,14,7.20898
2015,01,15,7.25332
2015,01,16,6.68810
2015,01,17,5.38831
2015,01,18,5.06470
2015,01,19,7.36944
2015,01,20,7.59046
2015,01,21,7.39112
2015,01,22,7.41333
2015,01,23,7.42610
2015,01,24,6.00296
2015,01,25,4.73454
2015,01,26,6.10217
2015,01,27,6.36959
2015,01,28,6.33854
2015,01,29,6.26727
2015,01,30,6.01521
2015,01,31,4.55916
2015,02,01,4.39731
2015,02,02,5.92708
2015,02,03,6.31950
2015,02,04,6.12082
2015,02,05,5.98214
2015,02,06,6.21923
2015,02,07,4.99140
2015,02,08,4.55921
2015,02,09,5.69751
2015,02,10,6.21561
2015,02,11,6.35728
