MotherCompany,DaughterCompany,PodId,Year,Month,Day,Weekday,Consumption,Temperature,Date,Consumption Kwh
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,15,5,4.11366,11.9,6/15/2012,4113.66
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,16,6,2.76583,13.6,6/16/2012,2765.83
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,17,7,2.14742,15.1,6/17/2012,2147.42
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,18,1,4.66697,15.9,6/18/2012,4666.97
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,19,2,4.72086,14.6,6/19/2012,4720.86
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,20,3,4.57568,15.5,6/20/2012,4575.68
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,21,4,4.21585,14.9,6/21/2012,4215.85
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,22,5,2.16802,13.5,6/22/2012,2168.02
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,23,6,2.25808,14.7,6/23/2012,2258.08
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,24,7,2.03725,12.3,6/24/2012,2037.25
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,25,1,4.63305,14.1,6/25/2012,4633.05
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,26,2,4.64478,13.4,6/26/2012,4644.78
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,27,3,4.60637,13.6,6/27/2012,4606.37
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,28,4,4.57028,16.3,6/28/2012,4570.28
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,29,5,3.89203,17.5,6/29/2012,3892.03
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,6,30,6,2.95441,18.5,6/30/2012,2954.41
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,1,7,3.24963,16.3,7/1/2012,3249.63
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,2,1,4.33032,17.7,7/2/2012,4330.32
